country,year,month,temperature_2m,cloudcover,weather_description_mode
Austria,2024,2024-01,1.6051075268817205,56.876344086021504,Overcast
Austria,2024,2024-02,8.30617816091954,78.57758620689656,Overcast
Austria,2024,2024-03,9.196102150537634,67.81854838709677,Overcast
Austria,2024,2024-04,12.628333333333332,69.25,Overcast
Austria,2024,2024-05,16.656586021505376,64.29569892473118,Overcast
Austria,2024,2024-06,20.72861111111111,61.71527777777778,Overcast
Austria,2024,2024-07,23.8505376344086,48.16263440860215,Clear sky
Austria,2024,2024-08,24.553897849462363,48.24596774193548,Clear sky
Austria,2024,2024-09,17.175416666666667,57.4125,Clear sky
Austria,2024,2024-10,12.041397849462365,66.08467741935483,Overcast
Austria,2024,2024-11,4.891111111111111,66.64861111111111,Overcast
Austria,2024,2024-12,2.7676075268817204,67.91666666666667,Overcast
