country,year,month,pm2_5,pm10,nitrogen_dioxide,ozone
Austria,2023,2023-11,7.496666666666667,11.033194444444444,16.97736111111111,40.69305555555555
Austria,2023,2023-12,12.753897849462366,16.688306451612902,20.98951612903226,36.70295698924731
Austria,2024,2024-01,16.08951612903226,18.298387096774192,19.31465053763441,40.30913978494624
Austria,2024,2024-02,13.291522988505747,15.866235632183907,15.92787356321839,45.80890804597701
Austria,2024,2024-03,14.23266129032258,17.460349462365592,14.338978494623657,53.69220430107527
Austria,2024,2024-04,8.989305555555555,11.824583333333335,8.75375,70.99861111111112
Austria,2024,2024-05,7.629435483870968,9.634677419354839,8.883198924731182,67.23252688172043
Austria,2024,2024-06,6.845416666666666,9.372777777777777,7.912916666666667,74.87916666666666
Austria,2024,2024-07,5.775672043010753,8.024059139784946,7.141801075268817,78.22446236559139
Austria,2024,2024-08,8.204032258064517,10.940591397849463,8.317607526881721,80.61693548387096
Austria,2024,2024-09,8.214027777777778,11.9775,10.399305555555555,59.736111111111114
Austria,2024,2024-10,12.715456989247311,15.551344086021507,14.6375,41.95564516129032
Austria,2024,2024-11,18.903333333333332,21.781666666666666,20.220277777777778,32.69166666666667
Austria,2024,2024-12,17.918682795698924,20.541666666666668,20.173387096774192,33.821236559139784
Austria,2025,2025-01,20.024731182795698,22.97244623655914,24.588575268817205,33.454301075268816
Austria,2025,2025-02,20.01473214285714,22.536607142857143,19.764880952380953,42.25
Austria,2025,2025-03,15.153629032258063,17.82741935483871,17.21666666666667,52.29838709677419
Austria,2025,2025-04,9.663611111111111,12.62,8.53111111111111,70.58333333333333
Austria,2025,2025-05,7.24005376344086,9.08239247311828,6.63252688172043,74.25537634408602
Austria,2025,2025-06,6.228611111111111,8.438194444444445,6.399305555555555,80.75138888888888
Austria,2025,2025-07,5.261424731182796,6.921774193548387,5.863172043010753,80.19086021505376
Austria,2025,2025-08,7.09005376344086,10.258602150537634,7.812768817204301,77.53360215053763
Austria,2025,2025-09,6.72,9.062222222222223,9.495555555555557,61.1125
Austria,2025,2025-10,8.441532258064516,10.58239247311828,11.90241935483871,46.986559139784944
Austria,2025,2025-11,13.051388888888889,16.959027777777777,18.56875,39.395833333333336
Belgium,2023,2023-01,10.813172043010752,15.33252688172043,20.67983870967742,40.490591397849464
Belgium,2023,2023-02,15.681249999999999,22.471875,27.92752976190476,34.26190476190476
Belgium,2023,2023-03,8.558064516129033,13.482258064516127,18.946639784946235,53.98521505376344
Belgium,2023,2023-04,11.36486111111111,16.98013888888889,18.826249999999998,58.72222222222222
Belgium,2023,2023-05,11.614381720430108,19.795967741935485,15.847715053763443,61.310483870967744
Belgium,2023,2023-06,10.818333333333333,19.789305555555554,14.850555555555555,79.6625
Belgium,2023,2023-07,6.21760752688172,12.346370967741937,9.763172043010753,56.23924731182796
Belgium,2023,2023-08,6.742204301075269,12.27741935483871,12.877016129032258,51.37231182795699
Belgium,2023,2023-09,8.809166666666668,15.488333333333333,18.27166666666667,50.21944444444444
Belgium,2023,2023-10,7.522983870967742,13.574596774193548,16.9380376344086,39.473118279569896
Belgium,2023,2023-11,7.388472222222222,11.784583333333332,18.111250000000002,37.90416666666667
Belgium,2023,2023-12,8.541532258064516,12.935752688172045,18.217876344086022,40.465053763440864
Belgium,2024,2024-01,12.901478494623657,16.49959677419355,22.83266129032258,39.06182795698925
Belgium,2024,2024-02,10.825574712643679,14.253160919540232,15.92816091954023,47.28735632183908
Belgium,2024,2024-03,12.321370967741936,15.093682795698927,19.06760752688172,48.64784946236559
Belgium,2024,2024-04,7.983194444444444,11.313472222222222,11.032638888888888,67.15277777777777
Belgium,2024,2024-05,12.113440860215054,14.829435483870968,16.644086021505377,60.59274193548387
Belgium,2024,2024-06,9.81611111111111,14.020972222222223,13.459861111111111,63.13194444444444
Belgium,2024,2024-07,7.643413978494624,11.015591397849462,11.574327956989247,62.8494623655914
Belgium,2024,2024-08,9.51760752688172,13.822311827956987,12.339247311827956,62.509408602150536
Belgium,2024,2024-09,9.566805555555556,12.819027777777778,14.112083333333334,56.39861111111111
Belgium,2024,2024-10,10.843682795698925,14.247177419354838,22.181048387096777,35.560483870967744
Belgium,2024,2024-11,17.641111111111112,22.58722222222222,27.77611111111111,28.766666666666666
Belgium,2024,2024-12,14.45241935483871,18.03010752688172,22.558198924731183,36.08064516129032
Belgium,2025,2025-01,17.97258064516129,21.578360215053763,32.21209677419355,31.048387096774192
Belgium,2025,2025-02,17.30342261904762,20.041815476190475,27.342559523809523,35.825892857142854
Belgium,2025,2025-03,18.199059139784946,23.021639784946235,28.05793010752688,46.321236559139784
Belgium,2025,2025-04,13.610277777777778,16.703888888888887,19.656666666666666,62.55416666666667
Belgium,2025,2025-05,8.098924731182796,11.97244623655914,12.01975806451613,71.24462365591398
Belgium,2025,2025-06,7.680694444444445,10.85625,9.735833333333334,70.1986111111111
Belgium,2025,2025-07,7.671505376344086,10.897580645161291,11.728629032258064,65.05913978494624
Belgium,2025,2025-08,8.061559139784947,12.652822580645163,12.168548387096774,65.07661290322581
Belgium,2025,2025-09,7.2148611111111105,10.884444444444444,13.524305555555555,53.36666666666667
Belgium,2025,2025-10,9.765322580645162,13.74247311827957,20.080241935483873,44.66263440860215
Belgium,2025,2025-11,6.334027777777778,9.029166666666667,14.297916666666667,50.416666666666664
Bosnia and Herzegovina,2023,2023-01,27.503091397849463,28.759811827956987,6.750268817204301,48.35618279569893
Bosnia and Herzegovina,2023,2023-02,28.89122023809524,34.142113095238095,12.355803571428572,55.336309523809526
Bosnia and Herzegovina,2023,2023-03,21.042069892473116,23.791532258064517,8.677956989247312,64.44623655913979
Bosnia and Herzegovina,2023,2023-04,16.980833333333333,18.629583333333333,5.474444444444444,68.25277777777778
Bosnia and Herzegovina,2023,2023-05,13.21236559139785,18.221639784946237,2.738037634408602,61.06182795698925
Bosnia and Herzegovina,2023,2023-06,14.596666666666668,21.696527777777778,4.452222222222222,58.859722222222224
Bosnia and Herzegovina,2023,2023-07,12.670564516129032,21.135618279569893,5.603225806451613,70.27016129032258
Bosnia and Herzegovina,2023,2023-08,13.426344086021507,20.898118279569893,4.815322580645161,66.8252688172043
Bosnia and Herzegovina,2023,2023-09,14.09625,22.767916666666668,5.524305555555555,64.66666666666667
Bosnia and Herzegovina,2023,2023-10,14.723924731182796,22.530510752688173,9.187903225806451,53.26881720430107
Bosnia and Herzegovina,2023,2023-11,15.569027777777778,20.70888888888889,9.875555555555556,49.65972222222222
Bosnia and Herzegovina,2023,2023-12,26.145026881720433,30.468279569892474,9.69462365591398,51.03225806451613
Bosnia and Herzegovina,2024,2024-01,29.04233870967742,31.046639784946237,5.517204301075269,57.670698924731184
Bosnia and Herzegovina,2024,2024-02,28.45847701149425,31.283045977011493,4.4014367816091955,63.34626436781609
Bosnia and Herzegovina,2024,2024-03,21.8747311827957,26.573655913978495,3.3833333333333333,69.66801075268818
Bosnia and Herzegovina,2024,2024-04,13.698194444444445,18.601944444444445,2.123611111111111,74.78055555555555
Bosnia and Herzegovina,2024,2024-05,11.384543010752688,15.923924731182796,1.7564516129032257,66.88575268817205
Bosnia and Herzegovina,2024,2024-06,11.229444444444445,18.092916666666667,1.6855555555555555,68.33194444444445
